"","Bird","Location","year.val","Region","LAeq","LAF90","File.Name"
"127","BABE_S_BKR","BABE","Y2016","Urban",58.6,NA,NA
"831_Data.394","BABE_S_GOM","BABE","Y2016","Urban",58.6,51.5,"831_Data.394"
"831_Data.324","LD_S_R","LODU","Y2016","Urban",52.9,45.8,"831_Data.324"
"130","BABE1_16","BABE","Y2016","Urban",52.6,NA,NA
"831_Data.273","BE_YS_GY","BATE","Y2016","Urban",63.5,61.4,"831_Data.273"
"831_Data.312","BE_YS_GY","BATE","Y2016","Urban",63.4,61.1,"831_Data.312"
"831_Data.333","BE_YS_GY","BATE","Y2016","Urban",64.4,62.7,"831_Data.333"
"831_Data.367","BE_YS_GY","BATE","Y2016","Urban",62.2,58.9,"831_Data.367"
"831_Data.274","BE_S_YYR","BATE","Y2016","Urban",56.4,54.5,"831_Data.274"
"831_Data.275","BE_OG_MS","BATE","Y2016","Urban",57.2,51.5,"831_Data.275"
"831_Data.361","BE_OG_MS","BATE","Y2016","Urban",52.6,49.8,"831_Data.361"
"831_Data.276","BE4_16","BATE","Y2016","Urban",53.9,49.8,"831_Data.276"
"831_Data.277","BE5_16","BATE","Y2016","Urban",56.7,53.8,"831_Data.277"
"831_Data.278","BE_lbS_lbM","BATE","Y2016","Urban",62.2,53.8,"831_Data.278"
"831_Data.281","BE7_16","BATE","Y2016","Urban",60.8,50.4,"831_Data.281"
"831_Data.282","BE_YS_lbY","BATE","Y2016","Urban",59.7,52.7,"831_Data.282"
"831_Data.315","BE_YS_lbY","BATE","Y2016","Urban",60.7,55.4,"831_Data.315"
"831_Data.335","BE_YS_lbY","BATE","Y2016","Urban",57.1,54.7,"831_Data.335"
"831_Data.362","BE_YS_lbY","BATE","Y2016","Urban",54.3,53.1,"831_Data.362"
"831_Data.314","BE_BGK_S","BATE","Y2016","Urban",55.8,53.5,"831_Data.314"
"831_Data.337","BE_BGK_S","BATE","Y2016","Urban",53.7,51.2,"831_Data.337"
"831_Data.366","BE_BGK_S","BATE","Y2016","Urban",54.7,52.9,"831_Data.366"
"831_Data.316","BE_BS_YK","BATE","Y2016","Urban",59.6,55,"831_Data.316"
"831_Data.336","BE_BS_YK","BATE","Y2016","Urban",61.4,54.5,"831_Data.336"
"831_Data.363","BE_BS_YK","BATE","Y2016","Urban",57.7,53.7,"831_Data.363"
"155","BE_KS_GR","BATE","Y2016","Urban",66.3,NA,NA
"831_Data.286","BW1_16","BATW","Y2016","Urban",48.7,43.7,"831_Data.286"
"831_Data.271","BW_S_OGY","BATW","Y2016","Urban",47.9,45.5,"831_Data.271"
"831_Data.272","BW_BS_WB","BATW","Y2016","Urban",57.3,55.1,"831_Data.272"
"831_Data.311","BW_BS_WB","BATW","Y2016","Urban",55.4,52.9,"831_Data.311"
"831_Data.332","BW_BS_WB","BATW","Y2016","Urban",55,52.8,"831_Data.332"
"831_Data.360","BW_BS_WB","BATW","Y2016","Urban",56.4,54.5,"831_Data.360"
"831_Data.290","BW_S_MGM","BATW","Y2016","Urban",48.5,45.3,"831_Data.290"
"831_Data.317","BW_S_MGM","BATW","Y2016","Urban",51.6,46.8,"831_Data.317"
